Code,Invite Link,Campaign,Segment,Tier,Status,Assigned To,Assigned Email,Sent Date,Redeemed Date,Expires At,Notes
"REFERRAL-UTR6-5GW9","https://instaskul.com/beta/join?code=REFERRAL-UTR6-5GW9","REFERRAL","STUDENT","BETA","Available","","","","","2026-04-23",""
"REFERRAL-ZLPH-6C5R","https://instaskul.com/beta/join?code=REFERRAL-ZLPH-6C5R","REFERRAL","STUDENT","BETA","Available","","","","","2026-04-23",""
"REFERRAL-T8YZ-WPQ5","https://instaskul.com/beta/join?code=REFERRAL-T8YZ-WPQ5","REFERRAL","STUDENT","BETA","Available","","","","","2026-04-23",""
"REFERRAL-KL4M-V72Y","https://instaskul.com/beta/join?code=REFERRAL-KL4M-V72Y","REFERRAL","STUDENT","BETA","Available","","","","","2026-04-23",""
"REFERRAL-DNM2-XBNF","https://instaskul.com/beta/join?code=REFERRAL-DNM2-XBNF","REFERRAL","STUDENT","BETA","Available","","","","","2026-04-23",""
"REFERRAL-9NNN-HZ4P","https://instaskul.com/beta/join?code=REFERRAL-9NNN-HZ4P","REFERRAL","STUDENT","BETA","Available","","","","","2026-04-23",""
"SCHOOL-M4CG-QUJ7","https://instaskul.com/beta/join?code=SCHOOL-M4CG-QUJ7","SCHOOL_DEMO","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"SCHOOL-8WYU-ZCMU","https://instaskul.com/beta/join?code=SCHOOL-8WYU-ZCMU","SCHOOL_DEMO","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"SCHOOL-FKHE-FFF4","https://instaskul.com/beta/join?code=SCHOOL-FKHE-FFF4","SCHOOL_DEMO","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"SCHOOL-UD9P-HBH8","https://instaskul.com/beta/join?code=SCHOOL-UD9P-HBH8","SCHOOL_DEMO","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"SCHOOL-HVQY-R22S","https://instaskul.com/beta/join?code=SCHOOL-HVQY-R22S","SCHOOL_DEMO","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"SCHOOL-3BQS-SYU3","https://instaskul.com/beta/join?code=SCHOOL-3BQS-SYU3","SCHOOL_DEMO","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"SCHOOL-CWZU-TG73","https://instaskul.com/beta/join?code=SCHOOL-CWZU-TG73","SCHOOL_DEMO","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"SCHOOL-DL7V-XHJP","https://instaskul.com/beta/join?code=SCHOOL-DL7V-XHJP","SCHOOL_DEMO","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"SCHOOL-JFM6-S26D","https://instaskul.com/beta/join?code=SCHOOL-JFM6-S26D","SCHOOL_DEMO","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"SCHOOL-S9RR-BQVD","https://instaskul.com/beta/join?code=SCHOOL-S9RR-BQVD","SCHOOL_DEMO","EDUCATOR","BETA","Available","","","","","2026-04-23",""
"ADMIN-FXHN-SK64","https://instaskul.com/beta/join?code=ADMIN-FXHN-SK64","SCHOOL_ADMIN","EDUCATION","BETA","Available","","","","","2026-04-23",""
"ADMIN-7W7S-H833","https://instaskul.com/beta/join?code=ADMIN-7W7S-H833","SCHOOL_ADMIN","EDUCATION","BETA","Available","","","","","2026-04-23",""
"ADMIN-Y2ER-3U5D","https://instaskul.com/beta/join?code=ADMIN-Y2ER-3U5D","SCHOOL_ADMIN","EDUCATION","BETA","Available","","","","","2026-04-23",""
"ADMIN-GVHF-FXXL","https://instaskul.com/beta/join?code=ADMIN-GVHF-FXXL","SCHOOL_ADMIN","EDUCATION","BETA","Available","","","","","2026-04-23",""
"ADMIN-UWCU-5ZRY","https://instaskul.com/beta/join?code=ADMIN-UWCU-5ZRY","SCHOOL_ADMIN","EDUCATION","BETA","Available","","","","","2026-04-23",""
